2018-11-01 11:09:39 status unpacked xinetd:amd64 1:2.3.15.3-1
2018-11-01 11:09:39 status unpacked xinetd:amd64 1:2.3.15.3-1
2018-11-01 11:09:39 status unpacked xinetd:amd64 1:2.3.15.3-1
2018-11-01 11:09:39 status unpacked xinetd:amd64 1:2.3.15.3-1
2018-11-01 11:09:39 status unpacked xinetd:amd64 1:2.3.15.3-1
2018-11-01 11:09:39 status unpacked xinetd:amd64 1:2.3.15.3-1
2018-11-01 11:09:39 status unpacked xinetd:amd64 1:2.3.15.3-1
2018-11-01 11:09:39 status unpacked xinetd:amd64 1:2.3.15.3-1
2018-11-01 11:09:39 status unpacked xinetd:amd64 1:2.3.15.3-1
2018-11-01 11:09:39 status half-configured xinetd:amd64 1:2.3.15.3-1
2018-11-01 11:09:39 status installed xinetd:amd64 1:2.3.15.3-1
2018-11-01 11:09:39 trigproc ureadahead:amd64 0.100.0-20 <none>
2018-11-01 11:09:39 status half-configured ureadahead:amd64 0.100.0-20
2018-11-01 11:09:39 status installed ureadahead:amd64 0.100.0-20
2018-11-01 11:09:39 trigproc systemd:amd64 237-3ubuntu10.3 <none>
2018-11-01 11:09:39 status half-configured systemd:amd64 237-3ubuntu10.3
2018-11-01 11:09:40 status installed systemd:amd64 237-3ubuntu10.3
2018-11-01 11:09:40 trigproc man-db:amd64 2.8.3-2 <none>
2018-11-01 11:09:40 status half-configured man-db:amd64 2.8.3-2
2018-11-01 11:09:41 status installed man-db:amd64 2.8.3-2
2018-11-01 16:28:24 startup archives unpack
2018-11-01 16:28:24 upgrade libcurl4:amd64 7.58.0-2ubuntu3.3 7.58.0-2ubuntu3.5
2018-11-01 16:28:24 status triggers-pending libc-bin:amd64 2.27-3ubuntu1
2018-11-01 16:28:24 status half-configured libcurl4:amd64 7.58.0-2ubuntu3.3
2018-11-01 16:28:24 status unpacked libcurl4:amd64 7.58.0-2ubuntu3.3
2018-11-01 16:28:24 status half-installed libcurl4:amd64 7.58.0-2ubuntu3.3
